tax_id,original_name,matched_candidate_name,matched_fein
0067,CENTRAL JERSEY MEDICAL CENTER,,
0067,ACADEMY LTD D B A ACADEMY SPORTS OUTDOORS,"Academy, Ltd.",741670067
0067,FRANKLIN COUNTY D B A FRANKLIN COU,,
0067,AARNA PRIYA INC,AARNA PRIYA INC,814150067
0067,CHADWICK RILEY CORPORATION,CHADWICK RILEY CORPORATION,274510067
0067,ACADEMY LTD D B A ACADEMY SPORTS O,"Academy, Ltd.",741670067
0067,CITY NATIONAL BANK,City National Bank,951780067
0067,PARAMOUNT SOFTWARE SOLUTIONS INC,Paramount Software Solutions Inc,582350067
0067,MASTER INTERNATIONAL CORPORATION D,Master International Corporation,953000067
0068,QUICKLLY INC,"Quicklly, Inc.",881770068
0068,SHUTTERFLY LLC,"Shutterfly, LLC",943330068
0068,PRESTON ABC DAY SCHOOL INC,"Preston ABC Day School,Inc.",452640068
0068,INNOVATIONS FOR POVERTY ACTION,,
0069,WUWI INC,WUWI INC,931980069
0069,FREESTONE GROVE PARTNERS LP,,
0069,PHOENIX WASTE SOLUTIONS INC,,
0069,V2SOFTWARE TECHNOLOGIES LLC,V2Software Technologies LLC,262820069
0069,APEX FINTECH SERVICES LLC,Apex Fintech Services LLC,872510069
0069,DAY TO DAY INTERNATIONAL,,
0070,LINCOLN NATIONAL CORPORATION,Lincoln National Corporation,351140070
0071,TRELLEBORG COATED SYSTEMS US INC,"Trelleborg Coated Systems US, Inc.",231470071
0071,UNIVERSAL COMMUNICATIONS NETWORK INC.,Universal Communications Network Inc.,223850071
0071,NZG SPECIALTIES INC DBA GOURMET TR,,
0071,STREETSCOPE INC,"Streetscope, Inc.",833860071
0071,MGT IMPACT SOLUTIONS LLC,,
0071,UNIVERSAL COMMUNICATIONS MANAGER,Universal Communications Network Inc.,223850071
0071,"CYPROTEX US, LLC","Cyprotex US, LLC",203810071
0072,LOGROCKET INC,,
0072,IKIO LED LIGHTING LLC D B A IKIO LED LIGHTING,"IKIO LED LIGHTING, LLC",464700072
0072,RICKY POWER SPORTS LLC,,
0072,ACME MARKETS INC,,
0073,DOWNTOWN PHYSICIANS PC,Downtown Physicians PC,463900073
0073,SMILES BY MEHTA DBA CHARM DENTAL,,
0073,HOLYOKE MEDICAL CENTER INC,Holyoke Medical Center,222520073
0073,CASTELLINI COMPANY LLC,Castellini Company LLC,760720073
0073,IGNYTE GORUP INC,"Ignyte Group, Inc.",471950073
0073,WONDERSCHOOL INC,,
0073,PRIETO BATTERY INC,,
0074,AWESOME TECHNOLOGIES INC,,
0074,ABS LINCS SC INC D B A PALMETTO PI,,
